period,address,unit,area,building_type,work_type,value,lat,lng,permit_no
2023-04,66 Innovation Drive,,Flamborough,Laboratory - Commercial,Alteration,110900,43.30833,-79.91728,23-112216-00 C3
2023-03,66 Innovation Drive,,Flamborough,Laboratory - Commercial,Alteration,,43.30833,-79.91728,21-143012-01 C3
2023-03,847 Lynden Road,,Ancaster,Medical Offices,Alteration,,43.22421,-80.14211,22-125618-01 C9
2023-03,769 King Street West,,Hamilton,Medical Offices,Alteration,85000,43.26186,-79.89659,22-128364-00 C9
2023-03,153 Highway No. 52,,Flamborough,Medical Offices,Addition (NR),300000,43.25472,-80.0603,22-141280-00 C9
2023-03,270 Longwood Road South,,Hamilton,Laboratory - Industrial,Alteration,35000000,43.25461,-79.90266,22-151762-00 I3
2023-03,6 Sydenham Street,,Dundas,Dental Offices,Alteration,500000,43.26688,-79.95692,22-153482-00 C9
2023-03,351 Nash Road North,,Hamilton,Laboratory - Industrial,Alteration,20000,43.24294,-79.76918,22-156098-00 I9
2023-03,975 Queenston Road,,Stoney Creek,Medical Offices,Tenant Improve,600000,43.22691,-79.75812,23-106255-00 C3
2023-03,310 Limeridge Road West,,Hamilton,Medical Offices,Alteration,10000,43.22378,-79.89867,23-108577-00 C3
2023-02,969 Fennell Avenue East,,Hamilton,Dental Offices,Alteration,55000,43.22805,-79.83782,22-143932-00 C3
2023-02,2190 Rymal Road East,,Glanbrook,Medical Offices,Alteration,400000,43.17412,-79.78295,22-154939-00 C3
