"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","ISSUEDDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","STATSCANADABUILDINGCODE","STATSCANADABUILDINGCODEDESC","STATSCANADAWORKCODE","STATSCANADAWORKCODEDESC","STATSCANADAUNITSCREATED","STATSCANADAUNITSLOST","BUILDINGAREAM2","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","CONSTRUCTIONVALUE"
"BP012436","BUILDING - RESIDENTIAL","NEW 1 UNIT","COMPLETED","5/11/2012 12:00:00 AM","5/24/2012 12:00:00 AM","5/24/2012 12:00:00 AM","2/28/2013 12:00:00 AM","4080106380001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","1.00000000","","56.86000000","","638","MARIE VAN HAARLEM CRES N","638 MARIE VAN HAARLEM CRES N","1012382","2","132","PLAN 1012382 BLOCK 2 LOT 132","458829","80534.00000000"
"BP012437","BUILDING - RESIDENTIAL","FT & FNDTN","COMPLETED","5/11/2012 12:00:00 AM","5/11/2012 12:00:00 AM","5/16/2012 12:00:00 AM","7/26/2012 12:00:00 AM","4080106380001","LEGACY RIDGE / HARDIEVILLE","110","SINGLE HOUSE","04","FOUNDATION","","","56.86000000","","638","MARIE VAN HAARLEM CRES N","638 MARIE VAN HAARLEM CRES N","1012382","2","132","PLAN 1012382 BLOCK 2 LOT 132","458829","1200.00000000"
"BP012438","BUILDING - RESIDENTIAL","GARAGE-DET","COMPLETED","5/14/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","9/4/2012 12:00:00 AM","2065500650001","SUNRIDGE","110","SINGLE HOUSE","15","GARAGE & CARPORT","","","44.97000000","","65","SUNRIDGE BLVD W","65 SUNRIDGE BLVD W","0514162","4","26","PLAN 0514162 BLOCK 4 LOT 26","417490","16940.00000000"
"BP012439","BUILDING - COMMERCIAL","RENO","COMPLETED","5/14/2012 12:00:00 AM","5/30/2012 12:00:00 AM","6/12/2012 12:00:00 AM","11/21/2013 12:00:00 AM","1048011220001","FLEETWOOD","520","OFFICE BLDG","03","ALTERATIONS/IMPROVEMENTS","","","860.00000000","","1122","SCENIC DR S","1122 SCENIC DR S","9412650","30","1","PLAN 9412650 BLOCK 30 LOT 1","361070","60000.00000000"
"BP012440","BUILDING - RESIDENTIAL","GARAGE-DET","COMPLETED","5/14/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","12/31/2015 12:00:00 AM","4036504490001","BLACKWOLF 1","110","SINGLE HOUSE","15","GARAGE & CARPORT","0.00000000","","40.88000000","","449","LYNX TERR N","449 LYNX TERR N","1013066","3","11","PLAN 1013066 BLOCK 3 LOT 11","459036","15400.00000000"
"BP012441","BUILDING - COMMERCIAL","RENO","COMPLETED","5/14/2012 12:00:00 AM","5/23/2012 12:00:00 AM","5/23/2012 12:00:00 AM","9/6/2012 12:00:00 AM","4226030550001","SHERRING INDUSTRIAL PARK","540","RESTAURANT / BAR","03","ALTERATIONS/IMPROVEMENTS","","","214.42000000","","3195","26 AVE N","3195 26 AVE N","","","","","454655","91285.00000000"
"BP012442","BUILDING - COMMERCIAL","RENO","COMPLETED","5/14/2012 12:00:00 AM","5/29/2012 12:00:00 AM","5/29/2012 12:00:00 AM","9/11/2012 12:00:00 AM","1040037000001","WEST MAYOR MAGRATH DR","540","RESTAURANT / BAR","03","ALTERATIONS/IMPROVEMENTS","","","207.00000000","","3700","MAYOR MAGRATH DR S","3700 MAYOR MAGRATH DR S","0012985","4","1","PLAN 0012985 BLOCK 4 LOT 1 CONTAINING 15.5190 HECTARES( 38.35 ACRES) MORE OR LESS EXCEPTING THEREOUT: HECTARES (ACRES) MORE OR LESS A) PLAN 0310299   SUBDIVISION               3.64     8.99","397841","119950.00000000"
"BP012443","BUILDING - RESIDENTIAL","BSMNT DEV","COMPLETED","5/14/2012 12:00:00 AM","5/25/2012 12:00:00 AM","5/25/2012 12:00:00 AM","6/5/2013 12:00:00 AM","2061104010001","COPPERWOOD","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","65.03000000","","401","TWINRIVER RD W","401 TWINRIVER RD W","0914592","14","22","PLAN 0914592 BLOCK 14 LOT 22","457882","17500.00000000"
"BP012444","BUILDING - RESIDENTIAL","DECK","COMPLETED","5/15/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","3/6/2014 12:00:00 AM","1118008260001","VICTORIA PARK","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","31.12000000","","826","18 ST S","826 18 ST S","8709FP","","7,8","PLAN 8709FP THE SOUTH 35 FEET OF LOT 7 AND THE NORTH 10 FEET OF LOT 8","288291","5695.00000000"
"BP012445","BUILDING - RESIDENTIAL","GARAGE-DET","COMPLETED","5/15/2012 12:00:00 AM","5/28/2012 12:00:00 AM","5/28/2012 12:00:00 AM","6/22/2012 12:00:00 AM","1222020060001","AGNES DAVIDSON","110","SINGLE HOUSE","15","GARAGE & CARPORT","","","89.19000000","","2006","22 AVE S","2006 22 AVE S","1864JK","7","2","PLAN 1864JK BLOCK 7 LOT 2","331278","33600.00000000"
